#day	   Rs       T        RH	       U         n/N 
 33055.5  145.707   22.814   83.948    1.958     0.45
 33056.5  176.236    21.42   82.765    2.072     0.76
 33057.5  204.251   19.971   79.387    1.313     0.92
 33058.5  185.818   19.907   83.654    0.957     0.62
 33059.5  169.256   21.433   85.867    1.165     0.49
 33060.5  153.811   21.796   88.465    1.572     0.65
 33061.5  169.291   21.908   85.806    1.059     0.58
 33062.5  177.188   19.846   83.889    1.399     0.81
 33063.5  194.123   20.238   77.192    2.424     0.85
 33064.5  181.673   21.219   73.158    1.539     0.66
 33065.5  197.513   22.033   79.362    0.901     0.81
 33066.5   117.23    21.62     85.6    0.991      0.3
 33067.5   168.16   22.657   83.339    1.379     0.69
 33068.5  137.425   22.965   85.493    1.082     0.27
 33069.5   25.495   22.019   92.171    1.696        0
 33070.5   66.049   21.056   93.071    1.669        0
 33071.5   81.961   21.934     95.3    0.945     0.23
 33072.5  132.697   22.622   93.092    1.105     0.55
 33073.5  208.257   21.132   83.902     1.95     0.91
 33074.5  213.495   20.563   74.714     1.76      0.9
 33075.5  180.159    20.88   77.797    1.982     0.74
 33076.5  165.733   22.072   76.913    1.696     0.48
 33077.5  144.527   22.613   84.644    0.776      0.9
 33078.5  184.371   23.729   88.779     1.07     0.65
 33079.5  120.641   22.065   89.094    1.729     0.38
 33080.5  198.452   21.521   68.104    3.042     0.88
 33081.5  200.731   20.804    70.91    2.137     0.89
 33082.5  223.107   20.204   72.203    1.069     0.62
 33083.5  146.804   19.941   77.316    0.862     0.67
 33084.5  196.901   20.509    77.24    0.913     0.84
 33085.5  208.489   20.047   84.321    1.302     0.91
 33086.5  177.751   18.963   78.428    1.991     0.88
 33087.5  170.224   20.672   66.987    2.417     0.69
 33088.5  181.847   21.694   66.842    1.823     0.77
 33089.5  159.745   19.881   79.203    1.038     0.72
 33090.5   206.89   20.586   78.607    1.249     0.72
 33091.5  193.927   21.531   81.462    1.014     0.75
 33092.5  188.614   21.511    80.66    0.977     0.86
 33093.5  191.461    21.55   83.777    0.949     0.91
 33094.5   188.06   21.587   85.275    1.596     0.65
 33095.5  195.166   22.801    78.46     1.65     0.85
 33096.5  153.133   22.563   83.628     1.18     0.42
 33097.5  227.607   22.819   78.687    1.166      0.8
 33098.5  237.911   23.221    73.93    1.008     0.92
 33099.5  172.152   22.981   86.181    0.917     0.87
 33100.5  213.744   23.219   86.102    0.943     0.91
 33101.5  191.474   22.925   84.431    0.863      0.9
 33102.5  242.622   23.548   78.888    1.175      0.9
 33103.5  235.369   24.488   74.772    1.171     0.88
 33104.5   87.912   21.918   88.416     1.07     0.04
 33105.5   37.256   18.773   98.256    1.331        0
 33106.5  192.386    19.92   79.841    1.814     0.49
 33107.5  231.318   21.805    82.37    1.008     0.79
 33108.5  173.856   23.207   88.301    0.896     0.79
 33109.5  110.959    23.41   94.356    0.693     0.16
 33110.5  107.901    22.71   93.788    0.858     0.19
 33111.5  122.556   22.681   91.333    0.938     0.25
 33112.5  178.537   23.495   92.032    0.851     0.61
 33113.5  139.238   23.773   93.219    0.912     0.74
 33114.5   90.833   22.267   96.713    1.278     0.02
 33115.5  104.846   20.129   93.163    1.723     0.01
 33116.5   93.899   20.128   89.563    2.491        0
 33117.5   126.19   20.391   89.554    2.072     0.13
 33118.5  263.958   20.939   75.529    2.466     0.83
 33119.5   257.14   21.204    73.66    1.357     0.85
 33120.5  259.479   21.173   76.591    1.117     0.92
 33121.5  236.238   21.136   80.302    0.924     0.57
 33122.5   225.31   22.576   82.346    1.237     0.79
 33123.5    134.7   21.473   92.179    1.785     0.35
 33124.5  231.129   22.117   83.965    1.796     0.81
 33125.5  224.893   22.653   80.626    1.471     0.66
 33126.5  214.801   23.112   84.248    1.052     0.84
 33127.5   103.01   22.307   91.977    1.093     0.09
 33128.5   73.431   20.019    96.21    1.627        0
 33129.5  120.808   22.401   93.488    1.004      0.1
 33130.5  262.306    23.25   88.673    1.468     0.88
 33131.5  246.052   23.206   84.795    1.056     0.72
 33132.5  179.708   23.892   88.286    0.804     0.57
 33133.5  284.268    24.14   83.894    1.027     0.86
 33134.5  131.146    22.51    89.79    1.293     0.12
 33135.5  140.401   20.877   78.748    2.335     0.64
 33136.5  181.739   20.391   73.967    3.119     0.02
 33137.5  182.363   21.915   76.064    1.595     0.21
 33138.5  232.861   22.306   84.258      2.4     0.61
 33139.5  207.598   22.009   83.546    2.765     0.42
 33140.5   66.598   21.078   94.896    2.052     0.01
 33141.5  110.207   22.257   95.752    1.048     0.17
 33142.5  252.191   24.193   87.914    0.796     0.75
 33143.5  210.363   24.145   91.365    0.856     0.51
 33144.5  202.801   23.751   92.644    1.038     0.46
 33145.5  266.684   23.453    85.59    1.234     0.73
 33146.5  113.824   22.033    85.91    1.265     0.37
