#day	  Rs        Rn      Rsout     T        Rh        U 
 33055.5  145.707   13.244  114.319   22.814   83.948    1.958
 33056.5  176.236   16.336  131.859    21.42   82.765    2.072
 33057.5  204.251   18.502  151.651   19.971   79.387    1.313
 33058.5  185.818   16.755   146.91   19.907   83.654    0.957
 33059.5  169.256   14.516  141.124   21.433   85.867    1.165
 33060.5  153.811   14.014  124.549   21.796   88.465    1.572
 33061.5  169.291   14.621  140.686   21.908   85.806    1.059
 33062.5  177.188   17.188  144.132   19.846   83.889    1.399
 33063.5  194.123   18.291  152.602   20.238   77.192    2.424
 33064.5  181.673    16.62  137.925   21.219   73.158    1.539
 33065.5  197.513   17.229  162.549   22.033   79.362    0.901
 33066.5   117.23   10.357   92.921    21.62     85.6    0.991
 33067.5   168.16   14.955    140.3   22.657   83.339    1.379
 33068.5  137.425   12.435  112.015   22.965   85.493    1.082
 33069.5   25.495     0.52   16.996   22.019   92.171    1.696
 33070.5   66.049    4.888   43.278   21.056   93.071    1.669
 33071.5   81.961    6.185   51.664   21.934     95.3    0.945
 33072.5  132.697   11.725   91.025   22.622   93.092    1.105
 33073.5  208.257   19.424  145.609   21.132   83.902     1.95
 33074.5  213.495   20.266  128.624   20.563   74.714     1.76
 33075.5  180.159   17.967  108.486    20.88   77.797    1.982
 33076.5  165.733   15.791  102.588   22.072   76.913    1.696
 33077.5  144.527   12.205  101.417   22.613   84.644    0.776
 33078.5  184.371   16.424  141.422   23.729   88.779     1.07
 33079.5  120.641   11.052   87.212   22.065   89.094    1.729
 33080.5  198.452    20.12  121.419   21.521   68.104    3.042
 33081.5  200.731   20.342  132.437   20.804    70.91    2.137
 33082.5  223.107    21.11  147.455   20.204   72.203    1.069
 33083.5  146.804   14.201   95.873   19.941   77.316    0.862
 33084.5  196.901   18.572  140.321   20.509    77.24    0.913
 33085.5  208.489   20.302   150.31   20.047   84.321    1.302
 33086.5  177.751   18.423  120.366   18.963   78.428    1.991
 33087.5  170.224   17.729  115.641   20.672   66.987    2.417
 33088.5  181.847   17.962  118.963   21.694   66.842    1.823
 33089.5  159.745   15.656  101.713   19.881   79.203    1.038
 33090.5   206.89   20.076  136.723   20.586   78.607    1.249
 33091.5  193.927   18.677  131.906   21.531   81.462    1.014
 33092.5  188.614   18.442  133.316   21.511    80.66    0.977
 33093.5  191.461   18.185  131.629    21.55   83.777    0.949
 33094.5   188.06   18.263  133.003   21.587   85.275    1.596
 33095.5  195.166   18.835  121.826   22.801    78.46     1.65
 33096.5  153.133   14.718  103.591   22.563   83.628     1.18
 33097.5  227.607   22.354  164.347   22.819   78.687    1.166
 33098.5  237.911   23.203  164.798   23.221    73.93    1.008
 33099.5  172.152   16.842  121.797   22.981   86.181    0.917
 33100.5  213.744   20.732  153.825   23.219   86.102    0.943
 33101.5  191.474   18.613  134.204   22.925   84.431    0.863
 33102.5  242.622   24.307  166.434   23.548   78.888    1.175
 33103.5  235.369   23.459  155.722   24.488   74.772    1.171
 33104.5   87.912    7.952    61.58   21.918   88.416     1.07
 33105.5   37.256    1.409   33.497   18.773   98.256    1.331
 33106.5  192.386   19.158  140.614    19.92   79.841    1.814
 33107.5  231.318    22.63  166.335   21.805    82.37    1.008
 33108.5  173.856    16.45  136.018   23.207   88.301    0.896
 33109.5  110.959    9.525   85.928    23.41   94.356    0.693
 33110.5  107.901    9.179   79.166    22.71   93.788    0.858
 33111.5  122.556   10.521   98.687   22.681   91.333    0.938
 33112.5  178.537   16.311  136.656   23.495   92.032    0.851
 33113.5  139.238   12.589  105.533   23.773   93.219    0.912
 33114.5   90.833    7.361   72.611   22.267   96.713    1.278
 33115.5  104.846    9.281   82.655   20.129   93.163    1.723
 33116.5   93.899    8.244    74.75   20.128   89.563    2.491
 33117.5   126.19   11.599   94.614   20.391   89.554    2.072
 33118.5  263.958   26.478  191.973   20.939   75.529    2.466
 33119.5   257.14   25.933  179.286   21.204    73.66    1.357
 33120.5  259.479   25.759  179.261   21.173   76.591    1.117
 33121.5  236.238   23.281  168.659   21.136   80.302    0.924
 33122.5   225.31   22.075  165.597   22.576   82.346    1.237
 33123.5    134.7   13.646   99.905   21.473   92.179    1.785
 33124.5  231.129       23   171.36   22.117   83.965    1.796
 33125.5  224.893    22.66  157.312   22.653   80.626    1.471
 33126.5  214.801    21.11  159.691   23.112   84.248    1.052
 33127.5   103.01    9.076   69.559   22.307   91.977    1.093
 33128.5   73.431    5.564   60.542   20.019    96.21    1.627
 33129.5  120.808    10.33   92.304   22.401   93.488    1.004
 33130.5  262.306   26.013  203.259    23.25   88.673    1.468
 33131.5  246.052   23.907  189.467   23.206   84.795    1.056
 33132.5  179.708   17.037  135.034   23.892   88.286    0.804
 33133.5  284.268   28.396  212.186    24.14   83.894    1.027
 33134.5  131.146   12.112   102.77    22.51    89.79    1.293
 33135.5  140.401   14.253  110.465   20.877   78.748    2.335
 33136.5  181.739   18.723  139.839   20.391   73.967    3.119
 33137.5  182.363    17.94  139.698   21.915   76.064    1.595
 33138.5  232.861    23.91  179.322   22.306   84.258      2.4
 33139.5  207.598   20.998  155.355   22.009   83.546    2.765
 33140.5   66.598    5.128    51.67   21.078   94.896    2.052
 33141.5  110.207    9.419   83.135   22.257   95.752    1.048
 33142.5  252.191    23.86  203.631   24.193   87.914    0.796
 33143.5  210.363   20.196  163.368   24.145   91.365    0.856
 33144.5  202.801   19.693  168.551   23.751   92.644    1.038
 33145.5  266.684   26.745  216.475   23.453    85.59    1.234
 33146.5  113.824     10.9   95.762   22.033    85.91    1.265
